appearance,"『現れること』,出現;出演,出廷;出版,発刊 / 『外観』,見かけ,風さい(outward look)"
application,"(…の…への)『適用』,応用 / 『申し込み』,志願;願書"
apply,"(…に)…'を'『適用する』,応用する / (…に)…'を'『当てる』,当てがう"
appoint,(…のために)'を'『決める』(fix) / 'を'『任命する』
approve,"を'『よいと認める』,‘に'賛成する / (正式に)…'を'認可する,承認する"
arch,"(建物の)『アーチ』,迫持(せりもち) / アーチ型の記念碑,弓形門"
argue,"(人と…について)『議論する』,論争する,言い争う / (…に賛成・反対して)論じる,主張する"
arise,"『起こる』,現れる / (…から)生じる(result)"
arm,"(人・猿の)『腕』;(四つ足の動物の前肢の)腕(手首から肩までの間;手はhand) / 腕のような物;(特に)いすのひじ掛け,樹の大枝"
army,『陸軍』 / 軍隊;(一国の全)軍隊
around,"…『の周りに』(『を』),…の周囲に(を),…をぐるっと取り巻いて / 『…のあちこちに』,『…のあちこちを』,…をぐるっと回って(about)"
arrange,"…'を'『整理する』,『整える』;…'を'配置する,配列する / (前もって)…'を'『手配する』,準備する"
arrest,"(…の罪で)…'を'『逮捕する』,検挙する / 'を'止める"
arrive,"(ある場所に)『着く』,(目的地に)『到着する』 / (ある目標・過程・断階などに)達する"
arrow,『矢』 / (用途・形などが)矢に似た物;(記号の)矢印(→)
art,"『芸術』;芸術作品 / 『技術』,技法,技巧;(何かをする)わざ,術,こつ"
article,"(新聞・雑誌などの)(…についての)『記事』,論説 / (条約・契約などの)条項,箇条;契約"
artificial,"『人造の』,『人工の』,人為的な / 模造の"
as,"(…と)『同じくらい』,『同様に』 / 『…ほど』,『…くらい』,…ように"
ash,『灰』 / 火山灰
ashamed,"『恥じて』,恥ずかしく思って / (…するのを)ためらって,気おくれして"
aside,"『わきに(へ)』;ある位置・方向から)それて;(…から)少し離れて / 別にしておいて,しまっておいて"
ask,"‘に'『ついて質問する』,'を'『尋ねる』,問う / (…について)‘に'『質問する』,尋ねる,問う"
asleep,『眠って』;永眠して / しびれて
association,"(…との)『交際』,付き合い / (…との)『連合』,『共同』,関連"
astonish,"…'を'『びっくりさせる』,驚かせる"
at,"『…で』,『…に』 / 『…に』,『…で』"
attack,"…'を'『襲う』,『攻撃する』;(ゲームで)…'を'攻める / (演説・文書などで)…'を'『非難する』,攻撃する"
attempt,"…'を'『企てる』,試みる / …'を'ねらう,襲う(attack)"
attend,"…‘に'『出席する』,参列する,‘に'通う / ‘の'『世話をする』,看護をする,‘に'仕える,付き添う"
attention,"(…に対する)『注意,注意力』 / 『世話,思いやり』(consideration)"
attract,"(物理的な力で)…'を'『引きつける』,『引き寄せる』 / 'を'『引きつける』,誘う"
attraction,"『引力』 / (人を)引きつける力,魅力となる物(事)"
attractive,"『魅力のある』,興味をそそる / 引力のある"
audience,"(音楽会などの)『聴衆』,(劇・映画などの)『観衆』,『観客』,(行事などの)『見物人』 / (本などの)読者:(テレビの)視聴者,(ラジオの)聴取者"
aunt,『おば』 / おばさん(年長の婦人に対する敬称)
autumn,"『秋』(北半球では秋分から冬至まで,南半球では北半球の春分から夏至まで) / 爛熟(ちんじゅく)期,衰退期,初老期"
avenue,"(門から家に向かう)『並木道』 / (都市の)『大通り』,『街路』,…街"
average,"『平均』;並み,標準 / 平均値"
avoid,"を'『避ける』,回避する(keep away from) / (法律上)'を'無効にする"
awake,"(…から)…‘の'『目をさまさせる』,'を'起こす(wake) / 'を'呼び起こす,喚起する"
away,"(位置が)『離れて』,遠くに / (…から)不在で,るすで"
awkward,"(人・動作などが)『ぶかっこうな』,『ぎごちない』,無器用な(clumsy) / (物が)『扱いにくい』,使いにくい"
axe,"『おの』,まさかり"
baby,"『赤ん坊,赤ちゃん』 / (家族・グループの中で)いちばん年少の人,最年少者"
back,"(人・動物の)『背』,『背中』,背部 / (正面に対して)(…の)『後ろ』,『裏』,奥,後部"
backward,"(方向が)『後方への』,もとへの / 『逆の』,反対からの"
bad,"『悪い』,不良の;不正な / 『適当でない』,欠陥のある"
bag,袋 / 袋状の物
bake,"(特にオーブンで)'を'『焼く』,焼いて料理する / 'を'焼き固める;…'を'焦がす"
balance,"『天びん』,『はかり』 / 『つり合い』,均衡,平衡"
ball,"『球』,まり,『ボール』 / 球技;野球(baseball)"
band,"『帯』,『バンド』,ひも,(おけの)たが / (色の)すじ,しま"
bank,"『土手』,堤 / 川岸;(川の)両岸"
bar,"(木または金属の)『棒』;棒状の物 / 横木,(戸・とびらなどの)かんぬき,横さん"
bare,"『裸の』,『おおいのない』;露出した,むき出した / 『からの』,なにもない(empty)"
bargain,"『契約』,売買契約,取引き / 『安い買い物』;『堀り出し物』,見切り品"
barrel,(胴のふくれた)『たる』 / (…の)1たる[の量]
base,"(人や人の行動・孝えが)『卑しい』,下劣な / (金属が)質の劣った;(貨幣が)粗悪な"
basic,"『基礎の』,基本的な(fundamental) / 塩基性(アルカリ性)の"
basis,"『根拠』,基準;…制 / (混合物の)主成分"
